expense_id,expense_date,category,amount,payment_method,description,month,month_num,year,weekday
1,2025-01-05,Food,250.0,UPI,Lunch,2025-01,1,2025,Sunday
2,2025-01-06,Travel,500.0,Card,Cab fare,2025-01,1,2025,Monday
3,2025-01-07,Rent,12000.0,Bank Transfer,Monthly rent,2025-01,1,2025,Tuesday
4,2024-04-12,Food,3759.0,Card,,2024-04,4,2024,Friday
5,2025-03-11,Food,626.0,Cash,,2025-03,3,2025,Tuesday
6,2024-09-27,Bills,1996.0,Card,,2024-09,9,2024,Friday
7,2024-04-16,Food,4854.0,Card,,2024-04,4,2024,Tuesday
8,2024-03-12,Food,2173.0,Cash,,2024-03,3,2024,Tuesday
9,2025-12-01,Food,505.0,UPI,,2025-12,12,2025,Monday
10,2024-01-21,Shopping,1673.0,Card,,2024-01,1,2024,Sunday
11,2025-09-06,Shopping,4700.0,Card,,2025-09,9,2025,Saturday
12,2024-05-01,Rent,3840.0,UPI,,2024-05,5,2024,Wednesday
13,2025-04-11,Travel,4374.0,UPI,,2025-04,4,2025,Friday
14,2024-08-02,Bills,4327.0,Cash,,2024-08,8,2024,Friday
15,2024-11-26,Bills,1946.0,UPI,,2024-11,11,2024,Tuesday
16,2025-04-03,Bills,1578.0,UPI,,2025-04,4,2025,Thursday
17,2024-03-28,Rent,2495.0,UPI,,2024-03,3,2024,Thursday
18,2025-01-07,Shopping,871.0,Cash,,2025-01,1,2025,Tuesday
19,2024-04-09,Rent,678.0,UPI,,2024-04,4,2024,Tuesday
20,2025-10-25,Bills,3001.0,UPI,,2025-10,10,2025,Saturday
21,2024-05-10,Travel,293.0,Cash,,2024-05,5,2024,Friday
22,2025-10-23,Food,2107.0,UPI,,2025-10,10,2025,Thursday
23,2024-11-04,Shopping,1285.0,UPI,,2024-11,11,2024,Monday
24,2024-12-09,Shopping,2494.0,Cash,,2024-12,12,2024,Monday
25,2025-05-06,Rent,3098.0,Card,,2025-05,5,2025,Tuesday
26,2025-02-17,Shopping,1892.0,Cash,,2025-02,2,2025,Monday
27,2025-01-20,Bills,1210.0,UPI,,2025-01,1,2025,Monday
28,2024-07-10,Bills,4105.0,UPI,,2024-07,7,2024,Wednesday
29,2024-10-03,Rent,2361.0,UPI,,2024-10,10,2024,Thursday
30,2024-06-09,Bills,3836.0,Cash,,2024-06,6,2024,Sunday
31,2025-04-04,Travel,3893.0,UPI,,2025-04,4,2025,Friday
32,2024-11-09,Rent,2036.0,UPI,,2024-11,11,2024,Saturday
33,2024-01-22,Travel,4975.0,Cash,,2024-01,1,2024,Monday
34,2024-09-09,Food,4457.0,Card,,2024-09,9,2024,Monday
35,2025-07-14,Travel,829.0,Card,,2025-07,7,2025,Monday
36,2025-04-19,Food,4478.0,UPI,,2025-04,4,2025,Saturday
37,2024-02-28,Food,3551.0,Cash,,2024-02,2,2024,Wednesday
